"age_cat","mean","lwr","upr","pop_sum","rate_mean","rate_lwr","rate_upr"
"0-4",924.5265,9.97500000000001,1823.025,7890731.82204939,11.7166128674727,0.126414130209399,23.1033703984952
"5-9",784.81175,646.975,914,7745142.67528286,10.1329540707439,8.35329996004718,11.8009446477578
"10-14",767.95275,659,872,7288076.36292691,10.5371117392023,9.04216650846594,11.9647483996697
"15-19",1389.08675,1215,1556,6392959.32071096,21.7283839973742,19.0052828283112,24.3392757867096
"20-24",1634.835,1404,1848,5704842.99152068,28.656967464835,24.6106685510332,32.3935295458043
"25-29",1719.264,1521,1917.025,5052656.40993519,34.0269327757842,30.1029770599325,37.9409333322269
"30-34",1287.4475,1099,1468,4325513.69261626,29.7640370945467,25.4073869162873,33.938165598826
"35-39",742.822,544,938,4257019.23760976,17.4493456228091,12.7788945653308,22.0341968791917
"40-44",348.9545,164,528,3537935.92426099,9.86322272280525,4.63547117615638,14.9239559817718
"45-49",319.119,116.975,512.025,3318682.92178391,9.61583277225117,3.52474167484255,15.4285604279654
"50-54",-80.5345,-285.025,126,2694185.08277545,-2.9891970122942,-10.5792657609988,4.67673883303516
"55-59",25.7255000000001,-183,232,2017228.86145902,1.27528911029923,-9.07185116653743,11.5009260690529
"60-64",270.12525,24,499,1745425.80821138,15.4761805817923,1.37502263843537,28.5890123574688
"65-69",55.9607499999999,-207,315,1284670.00430946,4.35604083634537,-16.1130873536094,24.5199155381012
"70-74",165.68075,-117.025,448.05,865077.820929068,19.1521208834211,-13.5276846971199,51.7930282293918
"75-79",47.7255,-221,311,535330.080454549,8.9151537980971,-41.2829407628932,58.0949980871484
"80-84",-11.86625,-222.025,178.025,235137.311701036,-5.04651937804208,-94.4235512406865,75.7110807774945
"85-89",-40.417,-157,76.0250000000001,91476.2642967928,-44.1830460728785,-171.629221204986,83.1089907140705
"90+",-3.05800000000001,-81.025,74,30348.5846562359,-10.0762524336424,-266.981148932596,243.833446726468
